,city type,REGION,State_name,CensusPop_20,ssp22050,ssp22100,NAMELSAD,volume_m3_perCap_2020,length_m_perCap_2020,volume_m3_perCap_2050,length_m_perCap_2050,volume_m3_perCap_2100,length_m_perCap_2100
73,rural,South,12,181165.0,196525.19341798002,192991.67566921,197,790.1199459889901,52.987793339090906,748.937277701778,48.77616710386945,835.4986419487255,55.60225692046514
74,rural,South,13,291462.0,284319.10835803,246809.30263805,380,658.5417125180848,46.58446063948729,711.8647600027707,49.45660569074708,901.9188719537391,61.61842742418941
75,rural,South,21,233260.0,221617.92569033,188553.10745491,292,731.2293831996897,30.86708915379115,788.7360736275556,33.519063624306895,977.4159990246866,43.008841128895625
76,rural,South,22,201646.0,197126.18239993,171980.171791037,261,758.9408634815429,47.18769386329545,819.3961057845029,51.01936642407528,989.342495543672,62.77966459515106
77,rural,South,24,112330.0,117452.7601748,113672.13514426,199,560.2505805459439,26.317348975818028,579.932206431098,26.073398229875004,638.1535562555366,30.3424492248676
78,rural,South,28,236370.0,220816.988555475,182424.88670296,312,726.1387270182108,50.87040173086862,814.2980557603923,56.56678809936001,1101.2553904272595,75.59683166938666
79,rural,South,37,302211.0,300500.0635238,273362.15787257,384,799.5595836902918,44.343974067055456,862.3805891816014,47.35587641656605,1038.7656377823428,59.26915518354643
80,rural,South,40,386015.0,403640.577207275,425508.27000919,692,898.8263596690185,88.57803654217793,892.502372700033,84.17873047576575,925.2780008142056,89.84450360476418
81,rural,South,45,186240.0,191051.05433768,183631.02585825,250,765.4826526621389,54.660756965136734,794.3588850441838,55.11172400913401,932.585192260334,67.55115314331863
82,rural,South,47,239715.0,241193.78274947,218307.80177248,290,678.5103730552827,47.42993149974627,687.0115655128891,46.70240333598527,791.6427600919285,54.64359338003068
83,rural,South,48,861453.0,988648.88894787,1092020.393627435,1030,829.7215557062191,50.49666264324375,785.9021285425295,46.8893757600179,811.6800239568358,47.745959290267436
84,rural,South,51,256652.0,255001.93076560998,227875.58721291,360,717.7741387927722,36.8678925365534,778.5198937805367,39.94557818525743,975.861090234166,48.45354881029675
85,rural,South,54,149643.0,133276.18239093001,106362.62240682,270,599.8657075049041,33.3657694858001,690.1951467219101,38.96309005405528,948.9844267302742,54.62437129905343
86,rural,West,04,212471.0,216940.234884549,196567.54323344,300,739.0739454812526,62.93549856368296,768.1150765126899,62.65922359534894,930.7826913829772,76.99881020683313
87,rural,West,06,459050.0,484424.05215728,474702.101440073,610,789.7910704099821,60.371453739157175,810.6377542068001,58.71730237294436,897.2907693817322,61.90209615606999
